experiment_id,scheme,topology_id,budget,manifest_size,failure_type,count,rate
exp_object_main_v3_compact,central_directory,rf_3967_exodus_compact,0,1,wrong_domain,0,0.0
exp_object_main_v3_compact,central_directory,rf_3967_exodus_compact,0,1,wrong_object,0,0.0
exp_object_main_v3_compact,central_directory,rf_3967_exodus_compact,0,1,no_reply,0,0.0
exp_object_main_v3_compact,central_directory,rf_3967_exodus_compact,0,1,fetch_timeout,0,0.0
exp_object_main_v3_compact,central_directory,rf_3967_exodus_compact,0,1,success,240,1.0
exp_object_main_v3_compact,central_directory,rf_3967_exodus_compact,0,2,predicate_miss,0,0.0
exp_object_main_v3_compact,central_directory,rf_3967_exodus_compact,0,2,wrong_domain,0,0.0
exp_object_main_v3_compact,central_directory,rf_3967_exodus_compact,0,2,wrong_object,0,0.0
exp_object_main_v3_compact,central_directory,rf_3967_exodus_compact,0,2,no_reply,0,0.0
exp_object_main_v3_compact,central_directory,rf_3967_exodus_compact,0,2,fetch_timeout,0,0.0
exp_object_main_v3_compact,central_directory,rf_3967_exodus_compact,0,2,success,240,1.0
exp_object_main_v3_compact,central_directory,rf_3967_exodus_compact,0,3,predicate_miss,0,0.0
exp_object_main_v3_compact,central_directory,rf_3967_exodus_compact,0,3,wrong_domain,0,0.0
exp_object_main_v3_compact,central_directory,rf_3967_exodus_compact,0,3,wrong_object,0,0.0
exp_object_main_v3_compact,central_directory,rf_3967_exodus_compact,0,3,no_reply,0,0.0
exp_object_main_v3_compact,central_directory,rf_3967_exodus_compact,0,3,fetch_timeout,0,0.0
exp_object_main_v3_compact,central_directory,rf_3967_exodus_compact,0,3,success,240,1.0
