experiment_id,scheme,topology_id,budget,manifest_size,stage,run_count,query_count,mean_candidate_count,mean_selected_count,mean_frontier_size,mean_shrinkage_ratio,median_shrinkage_ratio,source_run_ids
routing_main,inf_tag_forwarding,rf_3967_exodus_compact,16,5,level1_cells,1,231,5.857143,5.0,5.857143,0.732143,0.75,routing_main__inf_tag_forwarding__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_142554
routing_main,inf_tag_forwarding,rf_3967_exodus_compact,16,5,refined_cells,1,231,5.0,5.0,5.0,0.625,0.625,routing_main__inf_tag_forwarding__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_142554
routing_main,inf_tag_forwarding,rf_3967_exodus_compact,16,5,probed_cells,1,231,5.0,5.0,5.0,0.625,0.625,routing_main__inf_tag_forwarding__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_142554
routing_main,inf_tag_forwarding,rf_3967_exodus_compact,16,5,manifest_candidates,1,231,5.0,1.0,5.0,0.625,0.625,routing_main__inf_tag_forwarding__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_142554
routing_main,predicates_only,rf_3967_exodus_compact,16,5,all_domains,1,234,8.0,5.858974,8.0,1.0,1.0,routing_main__predicates_only__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_140702
routing_main,predicates_only,rf_3967_exodus_compact,16,5,predicate_filtered_domains,1,234,5.858974,5.858974,5.858974,0.732372,0.75,routing_main__predicates_only__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_140702
routing_main,predicates_only,rf_3967_exodus_compact,16,5,level0_cells,1,234,5.858974,5.858974,5.858974,0.732372,0.75,routing_main__predicates_only__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_140702
routing_main,predicates_only,rf_3967_exodus_compact,16,5,level1_cells,1,234,5.858974,5.0,5.858974,0.732372,0.75,routing_main__predicates_only__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_140702
routing_main,predicates_only,rf_3967_exodus_compact,16,5,refined_cells,1,234,5.0,5.0,5.0,0.625,0.625,routing_main__predicates_only__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_140702
routing_main,predicates_only,rf_3967_exodus_compact,16,5,probed_cells,1,234,5.0,5.0,5.0,0.625,0.625,routing_main__predicates_only__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_140702
routing_main,predicates_only,rf_3967_exodus_compact,16,5,manifest_candidates,1,234,5.0,1.0,5.0,0.625,0.625,routing_main__predicates_only__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_140702
routing_main,random_admissible,rf_3967_exodus_compact,16,5,all_domains,1,224,8.0,5.857143,8.0,1.0,1.0,routing_main__random_admissible__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_142539
routing_main,random_admissible,rf_3967_exodus_compact,16,5,predicate_filtered_domains,1,224,5.857143,5.857143,5.857143,0.732143,0.75,routing_main__random_admissible__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_142539
routing_main,random_admissible,rf_3967_exodus_compact,16,5,level0_cells,1,224,5.857143,5.857143,5.857143,0.732143,0.75,routing_main__random_admissible__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_142539
routing_main,random_admissible,rf_3967_exodus_compact,16,5,level1_cells,1,224,5.857143,5.0,5.857143,0.732143,0.75,routing_main__random_admissible__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_142539
routing_main,random_admissible,rf_3967_exodus_compact,16,5,refined_cells,1,224,5.0,5.0,5.0,0.625,0.625,routing_main__random_admissible__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_142539
routing_main,random_admissible,rf_3967_exodus_compact,16,5,probed_cells,1,224,5.0,5.0,5.0,0.625,0.625,routing_main__random_admissible__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_142539
routing_main,random_admissible,rf_3967_exodus_compact,16,5,manifest_candidates,1,224,5.0,1.0,5.0,0.625,0.625,routing_main__random_admissible__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_142539
