experiment_id,scheme,topology_id,budget,manifest_size,run_count,query_count,failure_stage,reply_status,reply_reason_code,count,rate,source_run_ids
ablation,predicates_only,rf_3967_exodus_compact,0,3,3,720,success,ok,ok,345,0.479167,ablation__predicates_only__smartcity__rf_3967_exodus_compact__manifest3__seed1__20260420_114546|ablation__predicates_only__smartcity__rf_3967_exodus_compact__manifest3__seed2__20260420_114600|ablation__predicates_only__smartcity__rf_3967_exodus_compact__manifest3__seed3__20260420_114604
ablation,predicates_only,rf_3967_exodus_compact,0,3,3,720,domain_selection,predicate_mismatch,zone_type_mismatch,234,0.325,ablation__predicates_only__smartcity__rf_3967_exodus_compact__manifest3__seed1__20260420_114546|ablation__predicates_only__smartcity__rf_3967_exodus_compact__manifest3__seed2__20260420_114600|ablation__predicates_only__smartcity__rf_3967_exodus_compact__manifest3__seed3__20260420_114604
ablation,predicates_only,rf_3967_exodus_compact,0,3,3,720,local_resolution,ok,ok,141,0.195833,ablation__predicates_only__smartcity__rf_3967_exodus_compact__manifest3__seed1__20260420_114546|ablation__predicates_only__smartcity__rf_3967_exodus_compact__manifest3__seed2__20260420_114600|ablation__predicates_only__smartcity__rf_3967_exodus_compact__manifest3__seed3__20260420_114604
ablation,flat_semantic_only,rf_3967_exodus_compact,0,2,3,720,domain_selection,predicate_mismatch,zone_type_mismatch,510,0.708333,ablation__flat_semantic_only__smartcity__rf_3967_exodus_compact__manifest2__seed1__20260420_120428|ablation__flat_semantic_only__smartcity__rf_3967_exodus_compact__manifest2__seed2__20260420_120430|ablation__flat_semantic_only__smartcity__rf_3967_exodus_compact__manifest2__seed3__20260420_122352
ablation,flat_semantic_only,rf_3967_exodus_compact,0,2,3,720,success,ok,ok,132,0.183333,ablation__flat_semantic_only__smartcity__rf_3967_exodus_compact__manifest2__seed1__20260420_120428|ablation__flat_semantic_only__smartcity__rf_3967_exodus_compact__manifest2__seed2__20260420_120430|ablation__flat_semantic_only__smartcity__rf_3967_exodus_compact__manifest2__seed3__20260420_122352
ablation,flat_semantic_only,rf_3967_exodus_compact,0,2,3,720,local_resolution,ok,ok,78,0.108333,ablation__flat_semantic_only__smartcity__rf_3967_exodus_compact__manifest2__seed1__20260420_120428|ablation__flat_semantic_only__smartcity__rf_3967_exodus_compact__manifest2__seed2__20260420_120430|ablation__flat_semantic_only__smartcity__rf_3967_exodus_compact__manifest2__seed3__20260420_122352
ablation,flat_semantic_only,rf_3967_exodus_compact,0,3,3,720,success,ok,ok,372,0.516667,ablation__flat_semantic_only__smartcity__rf_3967_exodus_compact__manifest3__seed1__20260420_122402|ablation__flat_semantic_only__smartcity__rf_3967_exodus_compact__manifest3__seed2__20260420_122409|ablation__flat_semantic_only__smartcity__rf_3967_exodus_compact__manifest3__seed3__20260420_122416
ablation,flat_semantic_only,rf_3967_exodus_compact,0,3,3,720,domain_selection,predicate_mismatch,zone_type_mismatch,291,0.404167,ablation__flat_semantic_only__smartcity__rf_3967_exodus_compact__manifest3__seed1__20260420_122402|ablation__flat_semantic_only__smartcity__rf_3967_exodus_compact__manifest3__seed2__20260420_122409|ablation__flat_semantic_only__smartcity__rf_3967_exodus_compact__manifest3__seed3__20260420_122416
ablation,flat_semantic_only,rf_3967_exodus_compact,0,3,3,720,local_resolution,ok,ok,57,0.079167,ablation__flat_semantic_only__smartcity__rf_3967_exodus_compact__manifest3__seed1__20260420_122402|ablation__flat_semantic_only__smartcity__rf_3967_exodus_compact__manifest3__seed2__20260420_122409|ablation__flat_semantic_only__smartcity__rf_3967_exodus_compact__manifest3__seed3__20260420_122416
ablation,predicates_plus_flat,rf_3967_exodus_compact,0,2,3,720,domain_selection,predicate_mismatch,zone_type_mismatch,438,0.608333,ablation__predicates_plus_flat__smartcity__rf_3967_exodus_compact__manifest2__seed1__20260420_124345|ablation__predicates_plus_flat__smartcity__rf_3967_exodus_compact__manifest2__seed2__20260420_124405|ablation__predicates_plus_flat__smartcity__rf_3967_exodus_compact__manifest2__seed3__20260420_130312
ablation,predicates_plus_flat,rf_3967_exodus_compact,0,2,3,720,success,ok,ok,141,0.195833,ablation__predicates_plus_flat__smartcity__rf_3967_exodus_compact__manifest2__seed1__20260420_124345|ablation__predicates_plus_flat__smartcity__rf_3967_exodus_compact__manifest2__seed2__20260420_124405|ablation__predicates_plus_flat__smartcity__rf_3967_exodus_compact__manifest2__seed3__20260420_130312
ablation,predicates_plus_flat,rf_3967_exodus_compact,0,2,3,720,local_resolution,ok,ok,141,0.195833,ablation__predicates_plus_flat__smartcity__rf_3967_exodus_compact__manifest2__seed1__20260420_124345|ablation__predicates_plus_flat__smartcity__rf_3967_exodus_compact__manifest2__seed2__20260420_124405|ablation__predicates_plus_flat__smartcity__rf_3967_exodus_compact__manifest2__seed3__20260420_130312
ablation,predicates_plus_flat,rf_3967_exodus_compact,0,3,3,720,success,ok,ok,381,0.529167,ablation__predicates_plus_flat__smartcity__rf_3967_exodus_compact__manifest3__seed1__20260420_130334|ablation__predicates_plus_flat__smartcity__rf_3967_exodus_compact__manifest3__seed2__20260420_130343|ablation__predicates_plus_flat__smartcity__rf_3967_exodus_compact__manifest3__seed3__20260420_130404
ablation,predicates_plus_flat,rf_3967_exodus_compact,0,3,3,720,domain_selection,predicate_mismatch,zone_type_mismatch,213,0.295833,ablation__predicates_plus_flat__smartcity__rf_3967_exodus_compact__manifest3__seed1__20260420_130334|ablation__predicates_plus_flat__smartcity__rf_3967_exodus_compact__manifest3__seed2__20260420_130343|ablation__predicates_plus_flat__smartcity__rf_3967_exodus_compact__manifest3__seed3__20260420_130404
ablation,predicates_plus_flat,rf_3967_exodus_compact,0,3,3,720,local_resolution,ok,ok,126,0.175,ablation__predicates_plus_flat__smartcity__rf_3967_exodus_compact__manifest3__seed1__20260420_130334|ablation__predicates_plus_flat__smartcity__rf_3967_exodus_compact__manifest3__seed2__20260420_130343|ablation__predicates_plus_flat__smartcity__rf_3967_exodus_compact__manifest3__seed3__20260420_130404
ablation,full_hiroute,rf_3967_exodus_compact,0,2,3,720,success,ok,ok,147,0.204167,ablation__full_hiroute__smartcity__rf_3967_exodus_compact__manifest2__seed1__20260420_132315|ablation__full_hiroute__smartcity__rf_3967_exodus_compact__manifest2__seed2__20260420_132319|ablation__full_hiroute__smartcity__rf_3967_exodus_compact__manifest2__seed3__20260420_134200
ablation,full_hiroute,rf_3967_exodus_compact,0,2,3,720,domain_selection,predicate_mismatch,zone_type_mismatch,573,0.795833,ablation__full_hiroute__smartcity__rf_3967_exodus_compact__manifest2__seed1__20260420_132315|ablation__full_hiroute__smartcity__rf_3967_exodus_compact__manifest2__seed2__20260420_132319|ablation__full_hiroute__smartcity__rf_3967_exodus_compact__manifest2__seed3__20260420_134200
ablation,full_hiroute,rf_3967_exodus_compact,0,3,3,720,success,ok,ok,426,0.591667,ablation__full_hiroute__smartcity__rf_3967_exodus_compact__manifest3__seed1__20260420_134229|ablation__full_hiroute__smartcity__rf_3967_exodus_compact__manifest3__seed2__20260420_134242|ablation__full_hiroute__smartcity__rf_3967_exodus_compact__manifest3__seed3__20260420_134247
ablation,full_hiroute,rf_3967_exodus_compact,0,3,3,720,domain_selection,predicate_mismatch,zone_type_mismatch,294,0.408333,ablation__full_hiroute__smartcity__rf_3967_exodus_compact__manifest3__seed1__20260420_134229|ablation__full_hiroute__smartcity__rf_3967_exodus_compact__manifest3__seed2__20260420_134242|ablation__full_hiroute__smartcity__rf_3967_exodus_compact__manifest3__seed3__20260420_134247
