experiment_id,scheme,topology_id,budget,failure_type,count,rate
exp_object_main_v2,oracle,rf_3967_exodus,16,predicate_miss,0,0.0
exp_object_main_v2,oracle,rf_3967_exodus,16,wrong_domain,0,0.0
exp_object_main_v2,oracle,rf_3967_exodus,16,wrong_object,0,0.0
exp_object_main_v2,oracle,rf_3967_exodus,16,no_reply,0,0.0
exp_object_main_v2,oracle,rf_3967_exodus,16,fetch_timeout,0,0.0
exp_object_main_v2,oracle,rf_3967_exodus,16,success,240,1.0
exp_object_main_v2,flood,rf_3967_exodus,16,predicate_miss,0,0.0
exp_object_main_v2,flood,rf_3967_exodus,16,wrong_domain,0,0.0
exp_object_main_v2,flood,rf_3967_exodus,16,wrong_object,0,0.0
exp_object_main_v2,flood,rf_3967_exodus,16,no_reply,0,0.0
exp_object_main_v2,flood,rf_3967_exodus,16,fetch_timeout,0,0.0
exp_object_main_v2,flood,rf_3967_exodus,16,success,240,1.0
exp_object_main_v2,hiroute,rf_3967_exodus,16,predicate_miss,0,0.0
exp_object_main_v2,hiroute,rf_3967_exodus,16,wrong_domain,0,0.0
exp_object_main_v2,hiroute,rf_3967_exodus,16,wrong_object,0,0.0
exp_object_main_v2,hiroute,rf_3967_exodus,16,no_reply,0,0.0
exp_object_main_v2,hiroute,rf_3967_exodus,16,fetch_timeout,0,0.0
exp_object_main_v2,hiroute,rf_3967_exodus,16,success,240,1.0
exp_object_main_v2,flat_iroute,rf_3967_exodus,16,predicate_miss,0,0.0
exp_object_main_v2,flat_iroute,rf_3967_exodus,16,wrong_domain,0,0.0
exp_object_main_v2,flat_iroute,rf_3967_exodus,16,wrong_object,0,0.0
exp_object_main_v2,flat_iroute,rf_3967_exodus,16,no_reply,0,0.0
exp_object_main_v2,flat_iroute,rf_3967_exodus,16,fetch_timeout,0,0.0
exp_object_main_v2,flat_iroute,rf_3967_exodus,16,success,240,1.0
exp_object_main_v2,inf_tag_forwarding,rf_3967_exodus,16,predicate_miss,0,0.0
exp_object_main_v2,inf_tag_forwarding,rf_3967_exodus,16,wrong_domain,0,0.0
exp_object_main_v2,inf_tag_forwarding,rf_3967_exodus,16,wrong_object,0,0.0
exp_object_main_v2,inf_tag_forwarding,rf_3967_exodus,16,no_reply,0,0.0
exp_object_main_v2,inf_tag_forwarding,rf_3967_exodus,16,fetch_timeout,0,0.0
exp_object_main_v2,inf_tag_forwarding,rf_3967_exodus,16,success,240,1.0
