experiment_id,scheme,topology_id,run_count,query_count,mean_success_at_1,ci_success_at_1,mean_manifest_hit_at_5,mean_ndcg_at_5,mean_num_remote_probes,ci_num_remote_probes,mean_discovery_bytes,ci_discovery_bytes,mean_latency_ms,ci_latency_ms,source_run_ids
exp_main_v1,exact,rf_3967_exodus,5,210,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,38.285714,0.0,exp_main_v1__exact__smartcity_v1__rf_3967_exodus__seed1__20260313_120501|exp_main_v1__exact__smartcity_v1__rf_3967_exodus__seed2__20260313_120601|exp_main_v1__exact__smartcity_v1__rf_3967_exodus__seed3__20260313_120701|exp_main_v1__exact__smartcity_v1__rf_3967_exodus__seed4__20260313_120801|exp_main_v1__exact__smartcity_v1__rf_3967_exodus__seed5__20260313_120901
exp_main_v1,oracle,rf_3967_exodus,5,210,1.0,0.0,1.0,1.0,1.0,0.0,73.952381,0.0,84.238095,0.0,exp_main_v1__oracle__smartcity_v1__rf_3967_exodus__seed1__20260313_121001|exp_main_v1__oracle__smartcity_v1__rf_3967_exodus__seed2__20260313_121101|exp_main_v1__oracle__smartcity_v1__rf_3967_exodus__seed3__20260313_121201|exp_main_v1__oracle__smartcity_v1__rf_3967_exodus__seed4__20260313_121301|exp_main_v1__oracle__smartcity_v1__rf_3967_exodus__seed5__20260313_121401
exp_main_v1,hiroute,rf_3967_exodus,5,210,0.857143,0.0,0.857143,0.260701,2.214286,0.0,251.5,0.0,408.97619,0.0,exp_main_v1__hiroute__smartcity_v1__rf_3967_exodus__seed1__20260313_122501|exp_main_v1__hiroute__smartcity_v1__rf_3967_exodus__seed2__20260313_122601|exp_main_v1__hiroute__smartcity_v1__rf_3967_exodus__seed3__20260313_122701|exp_main_v1__hiroute__smartcity_v1__rf_3967_exodus__seed4__20260313_122801|exp_main_v1__hiroute__smartcity_v1__rf_3967_exodus__seed5__20260313_122901
exp_main_v1,flood,rf_3967_exodus,5,210,0.357143,0.0,0.357143,0.173072,0.952381,0.0,69.142857,0.0,140.5,0.0,exp_main_v1__flood__smartcity_v1__rf_3967_exodus__seed1__20260313_121501|exp_main_v1__flood__smartcity_v1__rf_3967_exodus__seed2__20260313_121601|exp_main_v1__flood__smartcity_v1__rf_3967_exodus__seed3__20260313_121701|exp_main_v1__flood__smartcity_v1__rf_3967_exodus__seed4__20260313_121801|exp_main_v1__flood__smartcity_v1__rf_3967_exodus__seed5__20260313_121901
exp_main_v1,flat_iroute,rf_3967_exodus,5,210,0.357143,0.0,0.357143,0.173072,0.952381,0.0,86.285714,0.0,140.714286,0.0,exp_main_v1__flat_iroute__smartcity_v1__rf_3967_exodus__seed1__20260313_122001|exp_main_v1__flat_iroute__smartcity_v1__rf_3967_exodus__seed2__20260313_122101|exp_main_v1__flat_iroute__smartcity_v1__rf_3967_exodus__seed3__20260313_122201|exp_main_v1__flat_iroute__smartcity_v1__rf_3967_exodus__seed4__20260313_122301|exp_main_v1__flat_iroute__smartcity_v1__rf_3967_exodus__seed5__20260313_122401
